8.120704739279717499e-09 3.338769630871831994e-08
8.515902394201900935e-09 3.306827633668940659e-08
8.915615402251861959e-09 3.273602431931176448e-08
9.336401250543416018e-09 3.237398839605473777e-08
9.786996393943246971e-09 3.197273294614440320e-08
1.026960443641939746e-08 3.152876971679470293e-08
1.078957754621084394e-08 3.103463072025081014e-08
1.135585740641934684e-08 3.047846136530404968e-08
1.198041119552361199e-08 2.984471720687908816e-08
1.267705723532234923e-08 2.911551694543012639e-08
1.345978825187928214e-08 2.827255337878067095e-08
1.434059486652659042e-08 2.729958396614262669e-08
1.532705032360314550e-08 2.618521630180122252e-08
1.642015841649617675e-08 2.492541750789976569e-08
1.761300179737746774e-08 2.352513001318185327e-08
1.889054091505737494e-08 2.199858846075094847e-08
2.023060781732478013e-08 2.036828374265911064e-08
2.160584789298114208e-08 1.866285474627126066e-08
2.298618297599734639e-08 1.691439399997326716e-08
2.434133269923158021e-08 1.515569340293018977e-08
2.564301215232762979e-08 1.341786028905029913e-08
2.686656752581892518e-08 1.172856655672505479e-08
2.799196142132656351e-08 1.011101986905242711e-08
2.900413805606297715e-08 8.583610087586805701e-09
2.989287165560910315e-08 7.160102441370982206e-09
3.065223350612240255e-08 5.850215890449780058e-09
3.127981799351792923e-08 4.660424463711233847e-09
3.177585916972349641e-08 3.594834500397654124e-09
3.214235543243607622e-08 2.656011294310518791e-09
3.238230301300721564e-08 1.845651578470530369e-09
3.249911726998512749e-08 1.165025355653033188e-09
3.249629177860804957e-08 6.151445158986833036e-10
3.237730872531418527e-08 1.966568496588631157e-10
3.214577366782596084e-08 -9.049124392087240336e-11
3.180570981519140739e-08 -2.475390128049000671e-10
3.136191925030665712e-08 -2.774293215093587517e-10
3.082030769848374602e-08 -1.852377534604441039e-10
3.018807921378001257e-08 2.159549904449081523e-11
2.947373646324688321e-08 3.333028451788722591e-10
2.868686546586451849e-08 7.381154145596825341e-10
2.783773166018671156e-08 1.222840596666104038e-09
2.693675661466809943e-08 1.773603020305198593e-09
