0.000000000000000000e+00,3.655246975675054557e-07
1.562500000000000000e-02,5.176496894650636149e-07
3.125000000000000000e-02,4.982779894329441057e-07
4.687500000000000000e-02,4.455926362883070807e-07
6.250000000000000000e-02,3.835485446932421273e-07
7.812500000000000000e-02,3.305390584389231737e-07
9.375000000000000000e-02,2.831409002320256857e-07
1.093750000000000000e-01,2.470955050260372987e-07
1.250000000000000000e-01,2.444157154239670239e-07
1.406250000000000000e-01,2.694267755328824020e-07
1.562500000000000000e-01,2.923147593698646721e-07
1.718750000000000000e-01,2.978692181682031429e-07
1.875000000000000000e-01,2.912047162521495536e-07
2.031250000000000000e-01,2.828834685203876444e-07
2.187500000000000000e-01,2.759596220210689348e-07
2.343750000000000000e-01,2.671513454745994576e-07
2.500000000000000000e-01,2.533145204116770389e-07
2.656250000000000000e-01,2.362849837408488101e-07
2.812500000000000000e-01,2.196197842754448056e-07
2.968750000000000000e-01,2.026174144904540067e-07
3.125000000000000000e-01,1.859229514514356036e-07
3.281250000000000000e-01,1.748647128034889276e-07
3.437500000000000000e-01,1.721760150878862270e-07
3.593750000000000000e-01,1.772277300363748279e-07
3.750000000000000000e-01,1.873117738789960536e-07
3.906250000000000000e-01,1.940661159099635834e-07
4.062500000000000000e-01,1.920981591620147960e-07
4.218750000000000000e-01,1.867296989962696654e-07
4.375000000000000000e-01,1.829166073178545925e-07
4.531250000000000000e-01,1.760371487047745951e-07
4.687500000000000000e-01,1.626223993055555983e-07
4.843750000000000000e-01,1.510947382934820335e-07
5.000000000000000000e-01,1.498161646316210692e-07
5.156250000000000000e-01,1.522900035514162319e-07
5.312500000000000000e-01,1.508520720751134553e-07
5.468750000000000000e-01,1.465589957508622466e-07
5.625000000000000000e-01,1.412935658975157186e-07
5.781250000000000000e-01,1.357907723536023956e-07
5.937500000000000000e-01,1.330460873184557051e-07
6.093750000000000000e-01,1.337764840031849515e-07
6.250000000000000000e-01,1.346336811189757770e-07
6.406250000000000000e-01,1.362533322265613643e-07
6.562500000000000000e-01,1.414633940230628550e-07
6.718750000000000000e-01,1.491688099788253968e-07
6.875000000000000000e-01,1.571197699129049551e-07
7.031250000000000000e-01,1.611431797952083381e-07
7.187500000000000000e-01,1.574504414461569053e-07
7.343750000000000000e-01,1.472250629481034428e-07
7.500000000000000000e-01,1.327321977697287238e-07
7.656250000000000000e-01,1.171607098144937821e-07
7.812500000000000000e-01,1.095504183644032147e-07
7.968750000000000000e-01,1.127422394480186600e-07
8.125000000000000000e-01,1.155687033255190385e-07
8.281250000000000000e-01,1.115211479980396918e-07
8.437500000000000000e-01,1.062792367677470675e-07
8.593750000000000000e-01,1.056275808087212332e-07
8.750000000000000000e-01,1.047927520499256880e-07
8.906250000000000000e-01,1.000857793665951774e-07
9.062500000000000000e-01,9.800856230534815159e-08
9.218750000000000000e-01,1.036196731115978505e-07
9.375000000000000000e-01,1.117132936810262355e-07
9.531250000000000000e-01,1.171966073562148266e-07
9.687500000000000000e-01,1.199708279064797747e-07
9.843750000000000000e-01,1.200321967753378770e-07
1.000000000000000000e+00,1.185633249825301460e-07
1.015625000000000000e+00,1.170138056664390102e-07
1.031250000000000000e+00,1.124411951858777011e-07
1.046875000000000000e+00,1.035821063815448212e-07
1.062500000000000000e+00,9.564632639674369412e-08
1.078125000000000000e+00,9.386144827949803553e-08
1.093750000000000000e+00,9.614433413705931220e-08
1.109375000000000000e+00,9.705723557798062000e-08
1.125000000000000000e+00,9.684345925262790716e-08
1.140625000000000000e+00,9.781990347672892695e-08
1.156250000000000000e+00,9.765150799349151317e-08
1.171875000000000000e+00,9.380563090163615283e-08
1.187500000000000000e+00,8.689612500215580755e-08
1.203125000000000000e+00,7.942163205829054085e-08
1.218750000000000000e+00,7.455901883957561484e-08
1.234375000000000000e+00,7.393604838899741589e-08
1.250000000000000000e+00,7.576330302904727654e-08
1.265625000000000000e+00,7.866241478067790768e-08
1.281250000000000000e+00,8.368613981111305966e-08
1.296875000000000000e+00,8.934116808298285802e-08
1.312500000000000000e+00,9.251847788652606177e-08
1.328125000000000000e+00,9.285810929978246491e-08
1.343750000000000000e+00,9.086716688959481327e-08
1.359375000000000000e+00,8.670063056418450352e-08
1.375000000000000000e+00,8.203438676565486816e-08
1.390625000000000000e+00,8.003992333718550516e-08
1.406250000000000000e+00,8.221431181147948118e-08
1.421875000000000000e+00,8.581330107772048301e-08
1.437500000000000000e+00,8.745088749075268546e-08
1.453125000000000000e+00,8.757872143171023360e-08
1.468750000000000000e+00,8.839301460561934643e-08
1.484375000000000000e+00,8.919656097919199734e-08
1.500000000000000000e+00,8.732137615575245038e-08
1.515625000000000000e+00,8.331756262266121661e-08
1.531250000000000000e+00,8.213508928032210541e-08
1.546875000000000000e+00,8.531411577436543394e-08
1.562500000000000000e+00,8.808036092240261473e-08
1.578125000000000000e+00,8.681671199789741603e-08
1.593750000000000000e+00,8.281099047614082040e-08
1.609375000000000000e+00,7.994446484316279422e-08
1.625000000000000000e+00,7.784824044330572464e-08
1.640625000000000000e+00,7.478980864158322822e-08
1.656250000000000000e+00,7.359065891585286925e-08
1.671875000000000000e+00,7.507697253670794364e-08
1.687500000000000000e+00,7.662691653487969515e-08
1.703125000000000000e+00,7.701248206075157512e-08
1.718750000000000000e+00,7.631956547218814628e-08
1.734375000000000000e+00,7.624913423254128180e-08
1.750000000000000000e+00,7.832777977089785801e-08
1.765625000000000000e+00,8.089101600199394004e-08
1.781250000000000000e+00,8.162590280656426176e-08
1.796875000000000000e+00,7.999073096951562339e-08
1.812500000000000000e+00,7.662272235508995726e-08
1.828125000000000000e+00,7.217248062344356614e-08
1.843750000000000000e+00,6.752095459360060156e-08
1.859375000000000000e+00,6.395748761721375906e-08
1.875000000000000000e+00,6.128756068249247405e-08
1.890625000000000000e+00,6.020986042955943451e-08
1.906250000000000000e+00,6.308036358591427535e-08
1.921875000000000000e+00,6.756097231057451288e-08
1.937500000000000000e+00,6.865592343395005483e-08
1.953125000000000000e+00,6.616410221137574403e-08
1.968750000000000000e+00,6.314159792147783038e-08
1.984375000000000000e+00,6.092621737701088945e-08
2.000000000000000000e+00,6.027866789863668558e-08
2.015625000000000000e+00,6.301092839927666487e-08
2.031250000000000000e+00,6.769803947310372554e-08
2.046875000000000000e+00,6.978185786837954719e-08
2.062500000000000000e+00,6.686688734279030252e-08
2.078125000000000000e+00,6.109299319314760372e-08
2.093750000000000000e+00,5.747109409977266179e-08
2.109375000000000000e+00,5.776134823672392607e-08
2.125000000000000000e+00,5.939876553819603530e-08
2.140625000000000000e+00,6.212851878380172454e-08
2.156250000000000000e+00,6.691113583606448875e-08
2.171875000000000000e+00,7.134244094248425544e-08
2.187500000000000000e+00,7.218996635349462460e-08
2.203125000000000000e+00,6.868277667942535162e-08
2.218750000000000000e+00,6.354049208592102026e-08
2.234375000000000000e+00,6.086065461303345866e-08
2.250000000000000000e+00,6.045005044703299151e-08
2.265625000000000000e+00,5.934348795367278443e-08
2.281250000000000000e+00,5.860234028414930557e-08
2.296875000000000000e+00,6.169406816910600351e-08
2.312500000000000000e+00,6.710015657851400901e-08
2.328125000000000000e+00,6.993147187822602799e-08
2.343750000000000000e+00,6.965690612489947100e-08
2.359375000000000000e+00,6.869237925606061659e-08
2.375000000000000000e+00,6.680609710716708886e-08
2.390625000000000000e+00,6.323405736845811836e-08
2.406250000000000000e+00,5.923492065681295339e-08
2.421875000000000000e+00,5.672879267600175307e-08
2.437500000000000000e+00,5.637986534016028480e-08
2.453125000000000000e+00,5.749277047045265722e-08
2.468750000000000000e+00,5.966215022289232276e-08
2.484375000000000000e+00,6.224072876357267397e-08
2.500000000000000000e+00,6.388198414230637654e-08
2.515625000000000000e+00,6.387652941013836470e-08
2.531250000000000000e+00,6.344450974679475295e-08
2.546875000000000000e+00,6.325104488347963928e-08
2.562500000000000000e+00,6.165763323096670812e-08
2.578125000000000000e+00,5.922193095701504366e-08
2.593750000000000000e+00,5.986674543014433846e-08
2.609375000000000000e+00,6.359254454150155166e-08
2.625000000000000000e+00,6.562245187818329700e-08
2.640625000000000000e+00,6.389695065923496663e-08
2.656250000000000000e+00,6.040150668801717088e-08
2.671875000000000000e+00,5.882940879354397594e-08
2.687500000000000000e+00,6.085846425881044430e-08
2.703125000000000000e+00,6.440659076979603351e-08
2.718750000000000000e+00,6.666197208928351551e-08
2.734375000000000000e+00,6.483202089557673720e-08
2.750000000000000000e+00,5.959044327839201441e-08
2.765625000000000000e+00,5.707969521729912035e-08
2.781250000000000000e+00,5.920940046545347135e-08
2.796875000000000000e+00,6.116209093645527189e-08
2.812500000000000000e+00,6.075218841724324904e-08
2.828125000000000000e+00,5.894093150073464343e-08
2.843750000000000000e+00,5.840062307564153466e-08
2.859375000000000000e+00,6.243101516694648795e-08
2.875000000000000000e+00,6.829254140341135657e-08
2.890625000000000000e+00,6.997823657809694459e-08
2.906250000000000000e+00,6.625548728012122019e-08
2.921875000000000000e+00,6.021424613153074829e-08
2.937500000000000000e+00,5.634330849179483593e-08
2.953125000000000000e+00,5.701396023766494863e-08
2.968750000000000000e+00,5.850959587568927534e-08
2.984375000000000000e+00,5.597505917631708019e-08
3.000000000000000000e+00,5.016456312263263191e-08
3.015625000000000000e+00,4.585928324225644699e-08
3.031250000000000000e+00,4.504562006086217249e-08
3.046875000000000000e+00,4.625439788525662186e-08
3.062500000000000000e+00,4.879661299957749188e-08
3.078125000000000000e+00,5.311901731725931004e-08
3.093750000000000000e+00,5.843698344832150292e-08
3.109375000000000000e+00,6.248617396057155966e-08
3.125000000000000000e+00,6.398668327922094752e-08
3.140625000000000000e+00,6.324258885836387270e-08
